Query; PlannerTime_1; ExecutionTime_1; SharedHits_1; SharedReads_1; PageFaults_1                     ; PlannerTime_2; ExecutionTime_2; SharedHits_2; SharedReads_2; PageFaults_2                     ; PlannerTime_3; ExecutionTime_3; SharedHits_3; SharedReads_3; PageFaults_3                     ; PlannerTime_4; ExecutionTime_4; SharedHits_4; SharedReads_4; PageFaults_4                     ; PlannerTime_5; ExecutionTime_5; SharedHits_5; SharedReads_5; PageFaults_5                     ; PlannerTime_6; ExecutionTime_6; SharedHits_6; SharedReads_6; PageFaults_6                     ; PlannerTime_7; ExecutionTime_7; SharedHits_7; SharedReads_7; PageFaults_7                     ; PlannerTime_8; ExecutionTime_8; SharedHits_8; SharedReads_8; PageFaults_8                     ; PlannerTime_9; ExecutionTime_9; SharedHits_9; SharedReads_9; PageFaults_9                     ; PlannerTime_10; ExecutionTime_10; SharedHits_10; SharedReads_10; PageFaults_10
18b.sql; 8513,721; 2846,674; 2488429; 112966; 413322; 6339,519; 3395,703; 2495372; 106023; 369348; 9492,843; 3286,011; 2496669; 104726; 345576; 6188,088; 1702,097; 2457887; 143508; 430330; 7683,482; 4061,831; 2474389; 127006; 302502; 5776,226; 1484,482; 2448421; 152974; 367524; 8638,264; 3460,646; 2493102; 108293; 364169; 9095,689; 4021,908; 2477954; 123441; 343286; 7016,049; 3888,677; 2477564; 123831; 364733; 6320,887; 3702,501; 2486747; 114648; 352137
18c.sql; 8374,844; 9163,426; 7726102; 474216; 397713; 8334,493; 8740,168; 7723247; 477071; 247635; 6894,604; 8343,712; 7735455; 464863; 255506; 7704,334; 8756,969; 7694087; 506231; 309195; 7600,823; 11292,673; 7737253; 463065; 335496; 7112,722; 6092,129; 7695056; 505262; 267414; 7749,505; 10543,041; 7690417; 509901; 301768; 8492,903; 9835,102; 7770539; 429779; 363168; 6494,522; 9082,303; 7742991; 457327; 352483; 7418,311; 10534,583; 7746399; 453919; 296671
19a.sql; 10262,499; 4130,11; 1093292; 53971; 331384; 10094,13; 4199,658; 1100601; 46655; 289738; 9385,94; 3971,956; 1093295; 53963; 318268; 9505,264; 4211,21; 1078076; 69182; 251927; 9372,306; 4210,817; 1093226; 54031; 310593; 10223,815; 3232,958; 1078150; 69123; 197200; 8956,476; 4282,601; 1078160; 69097; 201192; 7299,894; 4125,822; 1093308; 53950; 214121; 7324,733; 4208,446; 1078199; 69071; 274328; 6416,065; 4107,318; 1088772; 58484; 266572
19b.sql; 8585,441; 207,807; 86657; 305; 76517; 7076,485; 215,42; 86665; 297; 125019; 10383,916; 239,079; 86688; 274; 73796; 8143,366; 209,863; 86659; 303; 145239; 9350,017; 226,292; 86681; 281; 125204; 7393,75; 192,719; 86650; 312; 111581; 9979,368; 222,229; 86656; 306; 134950; 10141,65; 240,695; 86686; 276; 148421; 10198,307; 209,269; 86734; 228; 111504; 7523,458; 232,816; 86672; 290; 90618
19c.sql; 8946,833; 4569,083; 472077; 136211; 301086; 9843,768; 4024,48; 472138; 136146; 406573; 8020,434; 4334,109; 471334; 136951; 412362; 7413,847; 4594,164; 472398; 135890; 191805; 9557,8; 4136,87; 475505; 132777; 385785; 8254,538; 4318,204; 494505; 113778; 272782; 6409,786; 4395,787; 471880; 136408; 302709; 7502,228; 4072,721; 473641; 134645; 342062; 6279,413; 4278,79; 479391; 128895; 250676; 9475,293; 4151,047; 471972; 136308; 200093
19d.sql; 9020,83; 14209,505; 21321980; 401564; 218124; 7732,352; 16088,548; 21256017; 467525; 298760; 6539,052; 14918,294; 21325657; 397871; 311474; 8624,874; 14634,316; 21312967; 410571; 356053; 9103,317; 14948,453; 21315668; 407876; 214255; 7559,571; 13126,424; 21333209; 390333; 279582; 6579,297; 15087,13; 21315343; 408203; 288301; 9192,974; 15182,548; 21316111; 407429; 277091; 8249,348; 14835,097; 21316658; 406882; 295791; 6667,96; 14861,95; 21350040; 373508; 288112
20a.sql; 6407,552; 4682,776; 1865213; 119876; 243014; 6110,039; 6164,085; 1846412; 138677; 366726; 7032,85; 4488,089; 1908717; 76372; 259276; 6891,531; 6289,771; 1870999; 114090; 235404; 7140,112; 6896,9; 1858702; 126387; 329097; 5446,955; 1067,983; 1860999; 124090; 241476; 5837,104; 7044,888; 1856791; 128298; 200957; 7295,15; 5345,85; 1898095; 86994; 265310; 10213,295; 6961,046; 1848694; 136395; 188133; 7914,759; 5812,269; 1887242; 97847; 192078
20b.sql; 6833,976; 3133,776; 809623; 53089; 210475; 8027,781; 2656,981; 824397; 38315; 153947; 7281,803; 3570,978; 802281; 60431; 197903; 6847,352; 1055,666; 809698; 53014; 139353; 5931,652; 3515,602; 803224; 59488; 188376; 6637,401; 1108,912; 843165; 19547; 138875; 5728,305; 3195,12; 803318; 59394; 162454; 7118,51; 3384,191; 804416; 58296; 212335; 6907,771; 3188,901; 806466; 56246; 179543; 7626,973; 3214,559; 809135; 53577; 196332
20c.sql; 6997,75; 3371,137; 678124; 57386; 184080; 6898,156; 3007,837; 681527; 53983; 136095; 7721,461; 3244,295; 682840; 52670; 177564; 7279,031; 3669,682; 670819; 64691; 197309; 6720,76; 3604,692; 674918; 60592; 238564; 6584,058; 994,287; 678497; 57013; 140004; 7533,619; 3413,942; 677690; 57820; 121177; 8164,747; 3253,467; 683403; 52107; 179411; 7024,191; 3505,677; 676112; 59398; 197460; 7102,769; 3749,25; 672728; 62782; 176072
21a.sql; 1525,934; 652,804; 888737; 0; 47859; 4895,829; 677,468; 885318; 0; 35393; 1224,089; 795,146; 891994; 0; 27465; 3746,554; 682,033; 891957; 0; 45285; 627,178; 691,891; 891144; 0; 47737; 394,906; 692,794; 887952; 0; 43548; 3073,37; 586,617; 888055; 0; 47426; 3271,224; 701,292; 901823; 0; 39739; 312,642; 705,171; 892889; 0; 47759; 1400,921; 666,104; 903398; 0; 44748
