Query; PlannerTime_1; ExecutionTime_1; SharedHits_1; SharedReads_1; PageFaults_1                     ; PlannerTime_2; ExecutionTime_2; SharedHits_2; SharedReads_2; PageFaults_2                     ; PlannerTime_3; ExecutionTime_3; SharedHits_3; SharedReads_3; PageFaults_3                     ; PlannerTime_4; ExecutionTime_4; SharedHits_4; SharedReads_4; PageFaults_4                     ; PlannerTime_5; ExecutionTime_5; SharedHits_5; SharedReads_5; PageFaults_5                     ; PlannerTime_6; ExecutionTime_6; SharedHits_6; SharedReads_6; PageFaults_6                     ; PlannerTime_7; ExecutionTime_7; SharedHits_7; SharedReads_7; PageFaults_7                     ; PlannerTime_8; ExecutionTime_8; SharedHits_8; SharedReads_8; PageFaults_8                     ; PlannerTime_9; ExecutionTime_9; SharedHits_9; SharedReads_9; PageFaults_9                     ; PlannerTime_10; ExecutionTime_10; SharedHits_10; SharedReads_10; PageFaults_10
13a.sql; 21,0; 4128,071; 6504397; 82792; 232564; 15,223; 3465,978; 6557295; 29894; 195258; 24,605; 6012,755; 6448049; 139140; 346256; 11,104; 5193,458; 6487454; 99735; 302564; 11,716; 6479,809; 6438639; 148550; 337732; 13,563; 4432,787; 6518502; 68687; 284585; 18,447; 6346,364; 6448559; 138630; 345003; 41,766; 6108,363; 6447437; 139752; 356415; 14,044; 5477,133; 6495785; 91404; 275530; 12,897; 5485,506; 6478744; 108445; 327441
13b.sql; 25,929; 3319,549; 3101744; 71093; 263489; 13,084; 2660,559; 3126295; 46542; 185441; 12,702; 2412,115; 3131328; 41509; 208862; 24,485; 2541,286; 3121204; 51633; 219296; 14,256; 2283,895; 3134380; 38457; 186652; 11,69; 1467,678; 3165419; 7418; 158606; 16,261; 2839,775; 3113539; 59298; 238652; 14,308; 1610,054; 3158117; 14720; 153430; 12,02; 1493,585; 3155096; 17741; 167639; 24,585; 3594,26; 3092276; 80561; 269445
13c.sql; 24,825; 1780,948; 3153061; 19586; 158063; 13,596; 1500,56; 3159236; 13411; 135466; 13,326; 2808,618; 3115435; 57217; 237623; 17,685; 3671,909; 3091269; 81378; 256995; 16,479; 2811,256; 3112906; 59741; 245563; 12,258; 1206,641; 3168499; 4148; 134249; 14,607; 992,877; 3172633; 14; 137268; 12,292; 2933,749; 3111223; 61429; 230108; 11,308; 3296,756; 3099952; 72695; 258383; 13,511; 1815,887; 3152422; 20220; 170867
13d.sql; 24,062; 11307,413; 24503077; 263420; 404917; 12,048; 10371,346; 24570906; 195591; 316657; 11,821; 10415,607; 24658210; 108287; 262627; 21,056; 12200,824; 24502235; 264262; 454935; 11,343; 10116,967; 24618355; 148142; 284538; 14,229; 11296,443; 24529265; 237232; 404768; 26,018; 11021,924; 24544705; 221792; 360528; 19,346; 12363,498; 24500694; 265803; 482509; 15,002; 10272,527; 24631000; 135497; 271732; 12,791; 11980,638; 24479415; 287082; 480609
14a.sql; 7,426; 434,317; 380821; 19; 88388; 15,339; 5925,469; 313114; 67726; 172252; 6,63; 1271,151; 371421; 9419; 99791; 9,983; 5651,429; 316508; 64332; 172831; 9,445; 3588,947; 338626; 42214; 135014; 10,546; 3771,481; 339016; 41824; 136603; 8,801; 3860,049; 344647; 36193; 129679; 9,728; 4104,25; 314156; 66684; 171781; 7,893; 5165,343; 320637; 60203; 163506; 8,961; 4088,106; 320419; 60421; 160234
14b.sql; 9,694; 1174,594; 119234; 8346; 47582; 6,474; 281,538; 127187; 393; 37913; 19,155; 1670,674; 117059; 10521; 51968; 6,517; 1708,452; 113759; 13821; 55722; 19,535; 1342,255; 108973; 18607; 59087; 7,808; 272,046; 127173; 407; 37421; 6,795; 1061,564; 120739; 6841; 43696; 7,241; 1293,634; 119914; 7666; 46268; 5,842; 1495,88; 117386; 10194; 52309; 6,53; 553,317; 124943; 2637; 42608
14c.sql; 6,925; 2798,736; 623354; 36401; 138121; 8,177; 3772,562; 636500; 23255; 121522; 6,458; 8044,047; 593488; 66267; 190069; 8,207; 7408,241; 608571; 51184; 156293; 9,421; 9329,222; 556475; 103280; 250326; 11,596; 9247,857; 552611; 107144; 253361; 6,525; 8563,16; 589152; 70603; 193294; 7,486; 7893,821; 603866; 55889; 170667; 6,16; 9428,784; 572001; 87754; 228807; 5,91; 6254,75; 569041; 90714; 231131
15a.sql; 19,378; 1564,968; 366773; 27870; 115638; 18,101; 2042,376; 340707; 53936; 147838; 20,175; 1713,135; 361133; 33510; 121472; 21,179; 2216,682; 316604; 78039; 180925; 23,849; 2173,378; 334871; 59772; 152765; 35,615; 2380,08; 320752; 73891; 172808; 21,105; 2069,314; 347932; 46711; 138493; 20,262; 1985,849; 348833; 45810; 138235; 26,237; 1640,169; 341506; 53137; 145831; 27,698; 1835,04; 340268; 54375; 143301
15b.sql; 28,117; 302,846; 7653; 9367; 28046; 17,496; 151,206; 11483; 5537; 23451; 28,633; 332,398; 6228; 10784; 28772; 19,965; 318,391; 11227; 5793; 24868; 24,372; 172,943; 16408; 612; 19024; 21,931; 139,055; 16034; 986; 17460; 20,822; 198,23; 15105; 1915; 20308; 18,359; 161,486; 15396; 1624; 19962; 20,921; 80,788; 16832; 188; 18855; 23,033; 168,577; 15971; 1041; 17855
15c.sql; 31,52; 2638,567; 372824; 98245; 144078; 24,6; 2255,923; 202920; 268149; 45656; 18,883; 2727,905; 359460; 111609; 147556; 17,007; 2535,892; 250107; 220962; 86872; 32,781; 2418,535; 224618; 246451; 64063; 29,205; 2537,786; 228290; 242779; 75481; 19,243; 2160,785; 191191; 279878; 34764; 25,065; 2746,425; 273971; 197098; 100169; 17,603; 2396,979; 248511; 222558; 78842; 19,808; 2194,983; 188627; 282442; 39590
