Query; PlannerTime_1; ExecutionTime_1; SharedHits_1; SharedReads_1; PageFaults_1                     ; PlannerTime_2; ExecutionTime_2; SharedHits_2; SharedReads_2; PageFaults_2                     ; PlannerTime_3; ExecutionTime_3; SharedHits_3; SharedReads_3; PageFaults_3                     ; PlannerTime_4; ExecutionTime_4; SharedHits_4; SharedReads_4; PageFaults_4                     ; PlannerTime_5; ExecutionTime_5; SharedHits_5; SharedReads_5; PageFaults_5                     ; PlannerTime_6; ExecutionTime_6; SharedHits_6; SharedReads_6; PageFaults_6                     ; PlannerTime_7; ExecutionTime_7; SharedHits_7; SharedReads_7; PageFaults_7                     ; PlannerTime_8; ExecutionTime_8; SharedHits_8; SharedReads_8; PageFaults_8                     ; PlannerTime_9; ExecutionTime_9; SharedHits_9; SharedReads_9; PageFaults_9                     ; PlannerTime_10; ExecutionTime_10; SharedHits_10; SharedReads_10; PageFaults_10
4b.sql; 59,738; 139,542; 47298; 14839; 28614; 75,011; 115,19; 47298; 14839; 21891; 49,878; 106,603; 47298; 14839; 20558; 96,952; 101,361; 47298; 14839; 22107; 61,134; 92,246; 47298; 14839; 24373; 77,059; 115,856; 47298; 14839; 22999; 63,34; 99,893; 47298; 14839; 21460; 88,89; 105,385; 47298; 14839; 27778; 37,36; 90,539; 47298; 14839; 23426; 65,577; 100,551; 47298; 14839; 20858
4c.sql; 69,78; 157,104; 74768; 24399; 41085; 67,815; 156,187; 74768; 24399; 35248; 57,154; 152,695; 74768; 24399; 31301; 55,419; 163,273; 74768; 24399; 30408; 54,86; 169,849; 74768; 24399; 33584; 44,487; 185,648; 74768; 24399; 37216; 60,227; 151,402; 74768; 24399; 36662; 52,457; 152,633; 74768; 24399; 32365; 52,382; 165,318; 74768; 24399; 31804; 61,624; 154,566; 74768; 24399; 31710
5a.sql; 44,978; 240,754; 66; 34860; 38332; 93,372; 237,152; 66; 34860; 50901; 43,177; 250,578; 66; 34860; 60814; 62,205; 274,629; 66; 34860; 74182; 29,869; 265,771; 66; 34860; 57670; 49,481; 263,771; 66; 34860; 49903; 62,028; 268,236; 66; 34860; 74435; 28,044; 239,442; 66; 34860; 40238; 68,902; 267,54; 66; 34860; 59370; 25,093; 261,499; 66; 34860; 61782
5b.sql; 38,051; 232,422; 0; 34860; 54373; 50,416; 246,65; 0; 34860; 78396; 27,323; 230,718; 0; 34860; 29503; 50,603; 225,936; 0; 34860; 54376; 33,958; 263,501; 0; 34860; 59237; 62,815; 292,277; 0; 34860; 59094; 52,81; 337,104; 0; 34860; 38793; 60,008; 255,715; 0; 34860; 79183; 65,986; 234,51; 0; 34860; 40324; 49,915; 228,798; 0; 34860; 39479
5c.sql; 82,402; 550,501; 5473; 45315; 46041; 49,321; 419,613; 5412; 45318; 69025; 38,829; 348,132; 5438; 45315; 96133; 43,767; 519,165; 5435; 45318; 64964; 55,291; 346,899; 5434; 45319; 84166; 86,242; 540,304; 5436; 45317; 75501; 64,543; 374,891; 5469; 45319; 80412; 53,975; 387,453; 5450; 45315; 91800; 45,419; 364,587; 5438; 45315; 92960; 41,503; 329,593; 5436; 45317; 56558
6a.sql; 107,322; 170,97; 21887; 15155; 21250; 75,979; 86,048; 21887; 15155; 20767; 137,404; 78,279; 21887; 15155; 22072; 82,124; 149,993; 21887; 15155; 29220; 92,268; 87,24; 21887; 15155; 14237; 138,993; 1010,046; 21887; 15155; 25324; 61,542; 98,744; 21887; 15155; 23754; 83,887; 92,702; 21887; 15155; 22271; 153,527; 86,789; 21887; 15155; 17494; 156,85; 98,653; 21887; 15155; 26105
6b.sql; 92,382; 2098,018; 1208500; 224182; 150019; 88,075; 1372,378; 1208500; 224182; 159179; 146,967; 1377,877; 1208500; 224182; 164923; 125,508; 2424,779; 1208500; 224182; 254058; 130,611; 1292,612; 1208500; 224182; 137360; 173,307; 2716,288; 1208500; 224182; 160061; 66,93; 1433,234; 1208500; 224182; 146071; 98,498; 1366,013; 1208500; 224182; 207015; 155,4; 1348,753; 1208500; 224182; 176539; 90,916; 1344,08; 1208500; 224182; 165093
6c.sql; 60,142; 59,386; 10923; 9091; 10694; 54,889; 58,88; 10923; 9091; 16033; 50,672; 54,715; 10923; 9091; 11866; 141,842; 59,123; 10923; 9091; 13553; 84,512; 50,091; 10923; 9091; 15997; 124,373; 282,41; 10923; 9091; 11606; 145,991; 57,613; 10923; 9091; 10835; 69,61; 53,61; 10923; 9091; 11688; 84,14; 52,081; 10923; 9091; 12265; 86,463; 61,313; 10923; 9091; 14093
6d.sql; 137,029; 4699,866; 6982206; 431530; 217077; 121,569; 4326,159; 6982206; 431530; 280550; 133,906; 4566,158; 6982206; 431530; 203719; 144,612; 5740,747; 6982206; 431530; 174834; 63,292; 4433,581; 6982162; 431574; 309353; 70,626; 17471,059; 6982206; 431530; 254327; 78,654; 5060,341; 6982206; 431530; 330655; 112,322; 4706,631; 6982206; 431530; 173454; 80,895; 4672,215; 6978449; 435287; 176506; 33,896; 4569,662; 6982206; 431530; 186671
6e.sql; 154,059; 102,322; 24751; 16795; 25678; 48,975; 99,294; 24751; 16795; 18198; 83,924; 100,589; 24751; 16795; 18112; 58,031; 276,819; 24751; 16795; 19196; 53,426; 104,598; 24751; 16795; 24003; 122,69; 249,595; 24751; 16795; 18956; 38,875; 104,092; 24751; 16795; 31787; 64,781; 95,466; 24751; 16795; 19267; 162,196; 102,329; 24751; 16795; 21252; 83,278; 112,57; 24751; 16795; 28743
6f.sql; 75,205; 4984,352; 6982206; 431530; 199451; 116,511; 4585,603; 6982206; 431530; 256788; 139,359; 4515,728; 6980714; 433022; 289625; 63,245; 9632,936; 6982206; 431530; 228644; 48,814; 4698,949; 6982206; 431530; 262270; 113,206; 7300,508; 6979975; 433761; 157439; 84,223; 5040,839; 6982206; 431530; 174024; 117,329; 4455,496; 6982206; 431530; 164362; 98,498; 5087,152; 6982179; 431557; 175986; 87,403; 4631,697; 6982206; 431530; 273087
7a.sql; 62,136; 533,904; 53994; 20349; 39039; 145,652; 552,656; 53994; 20349; 31172; 177,105; 424,646; 53994; 20349; 33511; 138,934; 775,927; 53994; 20349; 28586; 100,875; 513,608; 53994; 20349; 29229; 87,364; 1381,749; 53994; 20349; 32898; 130,492; 281,611; 53994; 20349; 26850; 94,36; 492,586; 53994; 20349; 30316; 117,391; 530,308; 53994; 20349; 34556; 172,156; 438,24; 53994; 20349; 28476
7b.sql; 160,677; 137,497; 21240; 7954; 12671; 82,207; 177,004; 21240; 7954; 17518; 126,691; 55,224; 21240; 7954; 16010; 100,116; 188,046; 21240; 7954; 15793; 57,634; 82,172; 21240; 7954; 15511; 110,212; 113,993; 21240; 7954; 13229; 171,716; 82,578; 21240; 7954; 13247; 122,62; 73,577; 21240; 7954; 12697; 86,99; 203,107; 21240; 7954; 16963; 170,034; 125,868; 21240; 7954; 14308
7c.sql; 122,579; 2842,045; 847337; 208591; 380158; 117,014; 2156,873; 847196; 208732; 317079; 108,622; 2149,333; 847196; 208732; 352639; 130,095; 2636,857; 847196; 208732; 370619; 122,522; 2186,976; 847196; 208732; 354966; 164,877; 4314,719; 847196; 208732; 238092; 84,273; 1639,748; 847426; 208502; 359311; 170,111; 2456,151; 847196; 208732; 239539; 45,356; 2155,727; 847196; 208732; 375995; 132,334; 2348,14; 847196; 208732; 272595
8a.sql; 182,804; 3129,735; 3395255; 394071; 296266; 48,181; 2342,853; 3395255; 394071; 456526; 61,853; 2354,892; 3395255; 394071; 516010; 80,583; 4455,039; 3395255; 394071; 279844; 165,026; 2167,374; 3395255; 394071; 341654; 61,979; 3222,87; 3395255; 394071; 277240; 174,832; 2468,339; 3395255; 394071; 324206; 126,305; 2703,16; 3395255; 394071; 446866; 67,265; 2437,622; 3395255; 394071; 324857; 95,729; 2539,491; 3391954; 397372; 323413
8b.sql; 110,637; 295,638; 66718; 45278; 92757; 186,242; 336,607; 66718; 45278; 66228; 147,553; 272,532; 66718; 45278; 53437; 122,729; 354,195; 66718; 45278; 55943; 87,358; 279,691; 66718; 45278; 53411; 166,677; 533,85; 66718; 45278; 50599; 126,127; 319,396; 66718; 45278; 60303; 109,595; 280,254; 66718; 45278; 69950; 71,734; 287,843; 66718; 45278; 79521; 85,606; 279,48; 66718; 45278; 83927
8c.sql; 94,882; 9086,392; 1468687; 183331; 231438; 50,833; 8873,923; 1469272; 183332; 343642; 104,679; 8817,154; 1468921; 183331; 384853; 146,396; 9166,881; 1468001; 183332; 225335; 99,349; 9028,097; 1469210; 183332; 260707; 75,965; 9261,046; 1466359; 183332; 234746; 110,9; 9031,619; 1467702; 183331; 270357; 149,155; 8672,69; 1467924; 183331; 331310; 95,771; 9314,904; 1469049; 183332; 353749; 93,813; 8827,513; 1467347; 183332; 254402
8d.sql; 77,47; 3501,15; 128737; 133786; 215307; 113,054; 3668,986; 128554; 133787; 208500; 93,977; 3406,516; 128598; 133786; 275464; 141,917; 3842,614; 128531; 133787; 268311; 188,042; 3258,73; 128582; 133786; 142397; 132,075; 3797,649; 128602; 133787; 161391; 76,283; 3356,239; 128634; 133787; 215271; 67,813; 3224,224; 128917; 133786; 165732; 60,087; 3572,34; 128785; 133786; 278279; 68,335; 3939,866; 128742; 133787; 139605
9a.sql; 64,491; 4637,939; 990668; 154315; 312552; 120,295; 4805,931; 990668; 154315; 266082; 130,272; 4864,171; 990668; 154315; 271812; 73,424; 4762,563; 990668; 154315; 282639; 137,068; 4690,072; 990668; 154315; 196204; 119,192; 5254,598; 990668; 154315; 150259; 68,244; 4077,058; 990668; 154315; 294639; 71,122; 3928,177; 990668; 154315; 253263; 200,455; 4057,568; 990668; 154315; 261506; 59,096; 3775,732; 990668; 154315; 182842
9b.sql; 157,547; 4303,324; 395459; 142954; 305092; 134,574; 3204,855; 395459; 142954; 306844; 165,145; 3639,281; 395459; 142954; 205807; 83,317; 3455,783; 395459; 142954; 271795; 68,719; 3782,125; 395459; 142954; 263555; 74,63; 4143,918; 395459; 142954; 10300; 180,192; 3211,199; 395459; 142954; 176745; 115,357; 3240,598; 395459; 142954; 281174; 132,292; 3160,474; 395459; 142954; 248731; 120,896; 3137,645; 395459; 142954; 178921
9c.sql; 160,721; 4699,194; 481273; 209341; 399577; 85,979; 4229,17; 481273; 209341; 264734; 96,967; 4686,542; 481273; 209341; 305692; 111,778; 4952,061; 481273; 209341; 319344; 138,333; 3962,072; 481273; 209341; 290048; 58,559; 5166,097; 481273; 209341; 360111; 142,701; 3969,419; 481273; 209341; 364042; 127,557; 4525,117; 481273; 209341; 205266; 149,67; 4079,804; 481273; 209341; 278752; 196,412; 4225,653; 481273; 209341; 409204
9d.sql; 86,322; 6651,183; 3734354; 312986; 301733; 107,065; 7444,312; 3734354; 312986; 504067; 115,661; 6787,977; 3734354; 312986; 306543; 91,389; 7592,539; 3734354; 312986; 480475; 91,755; 6558,958; 3734354; 312986; 584202; 51,164; 7756,654; 3734354; 312986; 466758; 79,989; 6552,545; 3734354; 312986; 459121; 170,671; 6714,289; 3734354; 312986; 338172; 121,202; 6213,485; 3734354; 312986; 383301; 113,614; 7608,545; 3734354; 312986; 518603
10a.sql; 167,19; 4191,528; 365136; 187316; 172933; 71,628; 4990,988; 365136; 187316; 132290; 40,455; 3420,518; 365136; 187316; 183902; 106,468; 5531,462; 365136; 187316; 134081; 155,881; 3814,372; 365136; 187316; 125819; 69,865; 5070,616; 365136; 187316; 139535; 61,86; 4367,52; 365136; 187316; 216252; 95,221; 4749,067; 365136; 187316; 110779; 160,712; 4429,514; 365136; 187316; 173337; 77,342; 4482,182; 365136; 187316; 131809
